Temps	Intensity_0
2180	25285.6
2185	25292.7
2190	25296.6
2195	25300.4
2200	25304.3
2205	25308.2
2210	25308.3
2215	25308.5
2220	25308.7
2225	25261.3
2230	25232.3
2235	25250.8
2240	25269.3
2245	25287.7
2250	25306.2
2255	25313
2260	25319.8
2265	25326.5
2270	25333.3
2275	25340.1
2280	25346.9
2285	25353.7
2290	24046.8
2295	22116.9
2300	20187.1
2305	18239.6
2310	16292
2315	14344.5
2320	12403.7
2325	10463
2330	8522.17
2335	6581.38
2340	4640.6
2345	2699.81
2350	759.027
2355	131.423
2360	107.328
2365	83.2322
2370	76.8148
2375	70.3975
2380	63.9801
2385	62.5083
2390	61.0365
2395	59.5647
2400	58.0929
2405	56.6211
2410	55.1493
2415	53.6775
2420	52.9041
2425	53.0984
2430	53.2927
2435	53.4869
2440	53.6812
2445	53.8755
2450	54.0698
2455	54.264
2460	55.4739
2465	56.6837
2470	57.8936
2475	59.1034
2480	59.0263
2485	58.755
2490	58.4836
2495	58.2122
2500	57.9409
2505	57.6695
2510	57.3981
2515	57.1268
2520	56.8554
2525	55.5685
2530	54.2815
2535	52.9946
2540	52.88
2545	54.0525
2550	55.2176
2555	56.3828
2560	57.2777
2565	58.1726
2570	59.0675
2575	59.5809
2580	60.0944
2585	60.6078
2590	59.8652
2595	59.1226
2600	58.3799
2605	56.4649
2610	54.5499
2615	52.6421
2620	50.7343
2625	49.0967
2630	47.4592
2635	45.8217
2640	44.5657
2645	43.3096
2650	43.4384
2655	44.8232
2660	46.208
2665	47.5928
2670	48.9776
2675	50.3624
2680	51.7472
2685	53.132
2690	54.5168
2695	55.9016
2700	57.2864
2705	58.7106
2710	60.1349
2715	60.1743
2720	60.2137
2725	60.2532
2730	60.2926
2735	60.332
2740	60.6404
2745	60.9487
2750	61.3967
2755	61.3242
2760	61.2518
2765	61.1794
2770	61.0675
2775	60.2068
2780	59.346
2785	58.4853
2790	57.6245
2795	56.7638
2800	55.903
2805	54.7733
2810	53.6436
2815	52.3744
2820	51.6255
2825	50.8766
2830	50.1277
2835	1043.34
2840	2037.29
2845	3049.59
2850	4061.89
2855	5107.48
2860	6236.73
2865	7510.38
2870	8976.12
2875	10595.8
2880	12415.8
2885	14347.3
2890	16305.8
2895	18299.3
2900	19316.8
2905	20334.4
2910	21333.7
2915	22332.9
2920	23304.2
2925	24210.1
2930	24971.6
2935	25540.9
2940	25956.3
2945	26171.4
2950	26275
2955	26351.6
2960	26393.3
2965	26436.7
2970	26510.3
2975	26583.9
2980	26657.5
2985	26725.8
2990	26776.2
2995	26846.4
3000	26916.6
3005	26986.7
3010	27056.9
3015	27127.1
3020	27197.2
3025	27267.4
3030	27317.8
3035	27337.9
3040	27358
3045	27378.1
3050	27422.1
3055	27465.8
3060	27489.7
3065	27513.7
3070	27549
3075	27575.4
3080	27601.8
3085	27628.2
3090	27654.7
3095	27681.1
3100	27691.6
3105	27702.1
3110	27712.7
3115	27699.3
3120	27685.8
3125	27672.4
3130	27659
3135	27634.2
3140	27618.4
3145	27602.5
3150	27586.6
3155	27570.7
3160	27563.7
3165	27572.5
3170	27581.3
3175	27590.1
3180	27599
3185	27607.8
3190	27617.3
3195	27626.7
3200	27633.8
3205	27640.9
3210	27648
3215	27655.1
3220	27647
3225	27630.1
3230	27613.2
3235	27551
3240	27488.8
3245	27426.6
3250	27364.4
3255	27301.6
3260	27238.7
3265	27178.3
3270	27117.8
3275	27048.1
3280	26952.3
3285	26871.7
3290	26791.2
3295	26710.6
3300	26647.2
3305	26572.1
3310	26497.1
3315	26422
3320	26347
3325	26271.9
3330	26196.8
3335	26087.1
3340	25986.6
3345	25912.1
3350	25837.7
3355	25763.2
3360	25688.8
3365	25642.4
3370	25607.8
3375	25573.1
3380	25538.4
3385	25487.9
3390	25437.4
3395	25386.9
3400	25310.3
3405	25233.8
3410	25157.3
3415	25080.7
3420	25004.2
3425	24927.6
3430	24851.1
3435	24774.6
3440	24689.6
3445	24604.7
3450	24535.6
3455	24466.5
3460	24397.4
3465	24389
3470	24380.6
3475	24372.2
3480	24363.9
3485	24355.5
3490	24347.1
3495	24338.7
3500	24348.7
3505	24367.1
3510	24385.5
3515	24380
3520	24374.5
3525	24369.1
3530	24363.6
3535	24358.1
3540	24352.6
3545	24347.2
3550	24341.7
3555	24336.2
3560	24330.7
3565	24306.9
3570	24283
3575	24261.2
3580	24263.2
3585	24265.2
3590	24267.2
3595	24269.2
3600	24271.3
3605	24286.6
3610	24332.5
3615	24385.7
3620	24439
3625	24492.2
3630	24556.6
3635	24621.1
3640	24683.5
3645	24746
3650	24808.4
3655	24870.9
3660	24933.3
3665	24987.6
3670	25028.6
3675	25039
3680	25042.1
3685	25045.2
3690	25031.4
3695	25006.4
3700	24981.4
3705	24956.4
3710	24931.4
3715	24906.4
3720	24881.4
3725	24856.4
3730	24839.5
3735	24822.7
3740	24805.8
3745	24789
3750	24792.9
3755	24826.8
3760	24860.8
3765	24894.7
3770	24928.7
3775	24962.6
3780	24996.5
3785	25030.5
3790	25085.4
3795	25162.5
3800	25239.7
3805	25310.5
3810	25381.4
3815	25431.5
3820	25468.4
3825	25502.2
3830	25535.9
3835	25569.6
3840	25603.3
3845	25637
3850	25670.8
3855	25683.5
3860	25674
3865	25664.6
3870	25661.4
3875	25658.2
3880	25655
3885	25675.7
3890	25699.7
3895	25732
3900	25764.3
3905	25754.9
3910	25745.5
3915	25736.1
3920	25726.7
3925	25717.3
3930	25707.9
3935	25698.5
3940	25673.7
3945	25648.9
3950	25600.1
3955	25538.3
3960	25468.2
3965	25398
3970	25369.6
3975	25341.1
3980	25312.7
3985	25284.2
3990	25255.8
3995	25227.3
4000	25187
4005	25162.1
4010	25129.7
4015	25097.4
4020	25078.1
4025	25051.9
4030	24957.4
4035	24863
4040	24768.5
4045	24674
4050	24579.5
4055	24485
4060	24390.5
4065	24307.9
4070	24225.3
4075	24150.1
4080	24074.9
4085	23999.7
4090	23969.9
4095	24008.4
4100	24046.9
4105	24085.4
4110	24123.9
4115	24162.4
4120	24200.9
4125	24250.1
4130	24322.9
4135	24395.6
4140	24468.4
4145	24541.1
4150	24613.9
4155	24648.1
4160	24682.4
4165	24740.3
4170	24829.1
4175	24939.8
4180	24996.3
4185	25052.9
4190	25098.7
4195	25120.9
4200	25143.2
4205	25165.5
4210	25187.8
4215	25210
4220	25232.3
4225	25254.6
4230	25253.2
4235	25220.9
4240	25204
4245	25258.8
4250	25313.7
4255	25368.5
4260	25451.5
4265	25534.5
4270	25617.5
4275	25700.5
4280	25783.4
4285	25866.4
4290	25949.4
4295	26032.4
4300	26129.5
4305	26189.4
4310	26231.6
4315	26283.9
4320	26336.3
4325	26360.4
4330	26384.6
4335	26408.8
4340	26448.2
4345	26487.7
4350	26541.3
4355	26594.9
4360	26658.2
4365	26708.1
4370	26763.2
4375	26823.4
4380	26873.6
4385	26923.7
4390	26973.8
4395	26997.7
4400	27021.6
4405	27030.3
4410	27038.9
4415	27033.4
4420	27027.9
4425	27012.6
4430	26996.8
4435	26975.6
4440	26949.4
4445	26923.2
4450	26896.9
4455	26935.4
4460	27000
4465	27064.6
4470	27129.3
4475	27199.7
4480	27276.1
4485	27352.4
4490	27404.4
4495	27456.4
4500	27508.4
4505	27560.4
4510	27612.4
4515	27664.4
4520	27651.3
4525	27638.1
4530	27613.1
4535	27588.1
4540	27557.4
4545	27520.6
4550	27483.9
4555	27471.5
4560	27459.2
4565	27446.8
4570	27434.5
4575	27422.1
4580	27409.8
4585	27397.9
4590	27407
4595	27436
4600	27465.1
4605	27494.1
4610	27523.1
4615	27546.9
4620	27570.6
4625	27594.4
4630	27618.2
4635	27642
4640	27665.8
4645	27689.6
4650	27713.4
4655	27716.1
4660	27710.9
4665	27705.7
4670	27700.5
4675	27699.5
4680	27703.8
4685	27684.2
4690	27664.5
4695	27637.3
4700	27610
4705	27582.8
4710	27534.9
4715	27487
4720	27439.1
4725	27391.2
4730	27343.3
4735	27295.4
4740	27243.2
4745	27191
4750	27162.7
4755	27134.5
4760	27113.8
4765	27093.1
4770	27083.2
4775	27093.9
4780	27104.6
4785	27115.4
4790	27126.1
4795	27136.9
4800	27147.6
4805	27158.3
4810	27169.1
4815	27179.8
4820	27190.5
4825	27201.3
4830	27227.4
4835	27242.7
4840	27258
4845	27335.3
4850	27412.6
4855	27489.8
4860	27585.8
4865	27681.8
4870	27777.8
4875	27873.8
4880	27969.8
4885	28092.1
4890	28214.4
4895	28328.2
4900	28442
4905	28555.7
4910	28622.5
4915	28690.3
4920	28758.1
4925	28807.2
4930	28917.1
4935	29027
4940	29136.8
4945	29246.7
4950	29330.3
4955	29413.9
4960	29503.8
4965	29605.7
4970	29707.6
4975	29794.7
4980	29880.7
4985	29966.7
4990	30066.4
4995	30105.3
5000	30144.3
5005	30183.2
5010	30222.1
5015	30261
5020	30299.9
5025	30342.9
5030	30373.7
5035	30404.6
5040	30459.2
5045	30513.7
5050	30568.3
5055	30609.2
5060	30650
5065	30690.9
5070	30731.7
5075	30772.6
5080	30813.5
5085	30854.3
5090	30878
5095	30906.6
5100	30930.6
5105	30930.9
5110	30928.2
5115	30925.4
5120	30922.6
5125	30919.9
5130	30917.1
5135	30914.4
5140	30911.6
5145	30908.8
5150	30906.1
5155	30903.3
5160	30895.7
5165	30892.6
5170	30928
5175	30966.4
5180	31004.8
5185	31043.2
5190	31100.4
5195	31157.6
5200	31214.8
5205	31276.7
5210	31338.6
5215	31400.5
5220	31484.3
5225	31568
5230	31651.7
5235	31720.8
5240	31789.9
5245	31859
5250	31954
5255	32030.1
5260	32106.3
5265	32182.5
5270	32253.9
5275	32325.3
5280	32396.8
5285	32446.4
5290	32496
5295	32545.7
5300	32571.5
5305	32597.4
5310	32649.8
5315	32676.4
5320	32703
5325	32729.6
5330	32756.2
5335	32805.1
5340	32853.9
5345	32938.4
5350	33041.2
5355	33143.9
5360	33246.6
5365	33366.8
5370	33506
5375	33618.6
5380	33731.2
5385	33886.6
5390	34042
5395	34197.3
5400	34330.4
5405	34463.6
5410	34561
5415	34640.3
5420	34719.5
5425	34814.3
5430	34891.7
5435	34950.1
5440	35008.5
5445	35066.8
5450	35082.4
5455	35136
5460	35189.6
5465	35243.2
5470	35309.9
5475	35376.7
5480	35443.4
5485	35510.1
5490	35561.3
5495	35612.4
5500	35663.5
5505	35714.7
5510	35765.8
5515	35816.9
5520	35830.1
5525	35843.3
5530	35937.7
5535	36019.1
5540	36100.4
5545	36181.7
5550	36263
5555	36346.3
5560	36429.6
5565	36512.8
5570	36596.1
5575	36711.2
5580	36826.4
5585	36953.2
5590	37081.8
5595	37146.6
5600	37211.4
